Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaylen Brown,BOS,28,27.0,2023-12-23,27-060,BOS,Away,LAC,W (+37),1,29:06,9.0,17.0,0.529,3.0,6.0,0.5,3.0,4.0,0.75,3.0,3.0,6.0,2.0,1.0,0.0,3.0,2.0,24.0,16.9,29.0
Jaylen Brown,BOS,29,28.0,2023-12-25,27-062,BOS,Away,LAL,W (+11),1,32:34,7.0,17.0,0.412,1.0,5.0,0.2,4.0,7.0,0.571,3.0,2.0,5.0,2.0,3.0,0.0,2.0,3.0,19.0,12.6,9.0
Jaylen Brown,BOS,31,29.0,2023-12-29,27-066,BOS,,TOR,W (+2),1,40:53,11.0,16.0,0.688,5.0,6.0,0.833,4.0,5.0,0.8,1.0,9.0,10.0,6.0,0.0,0.0,7.0,4.0,31.0,22.8,12.0
Jaylen Brown,BOS,32,30.0,2023-12-31,27-068,BOS,Away,SAS,W (+33),1,26:20,9.0,13.0,0.692,2.0,2.0,1.0,4.0,6.0,0.667,1.0,5.0,6.0,3.0,2.0,0.0,2.0,0.0,24.0,22.0,26.0
Jaylen Brown,BOS,33,31.0,2024-01-02,27-070,BOS,Away,OKC,L (-4),1,37:43,4.0,18.0,0.222,0.0,8.0,0.0,7.0,8.0,0.875,2.0,4.0,6.0,3.0,0.0,0.0,4.0,5.0,15.0,2.3,-1.0
Jaylen Brown,BOS,34,32.0,2024-01-05,27-073,BOS,,UTA,W (+29),1,26:54,5.0,12.0,0.417,2.0,4.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,13.0,8.5,18.0
Jaylen Brown,BOS,35,33.0,2024-01-06,27-074,BOS,Away,IND,W (+17),1,35:46,13.0,20.0,0.65,1.0,4.0,0.25,4.0,8.0,0.5,1.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,31.0,20.6,7.0
Jaylen Brown,BOS,36,34.0,2024-01-08,27-076,BOS,Away,IND,L (-2),1,37:59,17.0,26.0,0.654,3.0,4.0,0.75,3.0,5.0,0.6,1.0,4.0,5.0,2.0,0.0,0.0,5.0,2.0,40.0,25.3,-1.0
Jaylen Brown,BOS,37,35.0,2024-01-10,27-078,BOS,,MIN,W (+7),1,43:09,9.0,16.0,0.563,4.0,7.0,0.571,13.0,13.0,1.0,1.0,10.0,11.0,3.0,2.0,1.0,2.0,1.0,35.0,33.5,10.0
Jaylen Brown,BOS,38,36.0,2024-01-11,27-079,BOS,Away,MIL,L (-33),1,18:19,5.0,14.0,0.357,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,10.0,5.5,-17.0
Jaylen Brown,BOS,39,37.0,2024-01-13,27-081,BOS,,HOU,W (+32),1,28:27,11.0,15.0,0.733,4.0,6.0,0.667,6.0,10.0,0.6,1.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,32.0,26.3,19.0
Jaylen Brown,BOS,41,38.0,2024-01-17,27-085,BOS,,SAS,W (+19),1,31:17,8.0,16.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,5.0,1.0,1.0,3.0,2.0,21.0,16.9,12.0
Jaylen Brown,BOS,42,39.0,2024-01-19,27-087,BOS,,DEN,L (-2),1,35:44,6.0,19.0,0.316,1.0,9.0,0.111,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,13.0,3.4,-2.0
Jaylen Brown,BOS,43,40.0,2024-01-21,27-089,BOS,Away,HOU,W (+9),1,30:50,6.0,14.0,0.429,1.0,3.0,0.333,0.0,2.0,0.0,0.0,11.0,11.0,10.0,3.0,0.0,3.0,0.0,13.0,15.1,4.0
Jaylen Brown,BOS,44,41.0,2024-01-22,27-090,BOS,Away,DAL,W (+9),1,36:33,13.0,22.0,0.591,2.0,7.0,0.286,6.0,9.0,0.667,1.0,2.0,3.0,4.0,0.0,2.0,0.0,5.0,34.0,26.1,-6.0
Jaylen Brown,BOS,45,42.0,2024-01-25,27-093,BOS,Away,MIA,W (+33),1,27:20,7.0,11.0,0.636,4.0,8.0,0.5,0.0,0.0,,1.0,3.0,4.0,5.0,3.0,0.0,3.0,1.0,18.0,17.8,22.0
Jaylen Brown,BOS,46,43.0,2024-01-27,27-095,BOS,,LAC,L (-19),1,24:10,3.0,13.0,0.231,0.0,2.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,2.0,0.0,1.0,1.0,3.0,8.0,3.8,-18.0
Jaylen Brown,BOS,47,44.0,2024-01-29,27-097,BOS,,NOP,W (+6),1,36:51,8.0,15.0,0.533,1.0,5.0,0.2,5.0,7.0,0.714,2.0,9.0,11.0,7.0,0.0,1.0,0.0,3.0,22.0,22.4,6.0
Jaylen Brown,BOS,48,45.0,2024-01-30,27-098,BOS,,IND,W (+5),1,35:42,9.0,15.0,0.6,0.0,3.0,0.0,7.0,8.0,0.875,2.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,25.0,23.7,-6.0
Jaylen Brown,BOS,49,46.0,2024-02-01,27-100,BOS,,LAL,L (-9),1,27:24,4.0,12.0,0.333,0.0,3.0,0.0,0.0,0.0,,3.0,5.0,8.0,7.0,1.0,0.0,3.0,5.0,8.0,5.7,-20.0
Jaylen Brown,BOS,51,47.0,2024-02-07,27-106,BOS,,ATL,W (+8),1,33:52,7.0,11.0,0.636,0.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,2.0,4.0,15.0,13.5,-3.0
Jaylen Brown,BOS,52,48.0,2024-02-09,27-108,BOS,,WAS,W (+4),1,34:43,9.0,15.0,0.6,0.0,1.0,0.0,0.0,0.0,,1.0,6.0,7.0,3.0,1.0,0.0,3.0,3.0,18.0,12.5,-15.0
Jaylen Brown,BOS,53,49.0,2024-02-11,27-110,BOS,Away,MIA,W (+4),1,37:12,8.0,16.0,0.5,3.0,8.0,0.375,1.0,4.0,0.25,3.0,6.0,9.0,2.0,0.0,0.0,6.0,1.0,20.0,9.7,3.0
Jaylen Brown,BOS,54,50.0,2024-02-13,27-112,BOS,Away,BRK,W (+8),1,37:26,7.0,19.0,0.368,1.0,6.0,0.167,4.0,6.0,0.667,1.0,0.0,1.0,4.0,1.0,0.0,4.0,5.0,19.0,6.2,9.0
Jrue Holiday,BOS,1,1.0,2023-10-25,33-135,BOS,Away,NYK,W (+4),1,34:47,4.0,10.0,0.4,1.0,5.0,0.2,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,3.0,2.0,3.0,9.0,5.9,3.0
Jrue Holiday,BOS,2,2.0,2023-10-27,33-137,BOS,,MIA,W (+8),1,36:27,7.0,13.0,0.538,1.0,4.0,0.25,2.0,2.0,1.0,2.0,8.0,10.0,7.0,0.0,1.0,1.0,2.0,17.0,18.3,4.0
Jrue Holiday,BOS,3,3.0,2023-10-30,33-140,BOS,Away,WAS,W (+19),1,26:42,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,11.0,12.7,28.0
Jrue Holiday,BOS,4,4.0,2023-11-01,33-142,BOS,,IND,W (+51),1,25:26,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,,0.0,7.0,7.0,4.0,0.0,1.0,1.0,0.0,15.0,15.7,20.0
Jrue Holiday,BOS,5,5.0,2023-11-04,33-145,BOS,Away,BRK,W (+10),1,40:22,6.0,15.0,0.4,4.0,9.0,0.444,2.0,2.0,1.0,4.0,5.0,9.0,10.0,0.0,1.0,3.0,1.0,18.0,18.5,14.0
Jrue Holiday,BOS,6,6.0,2023-11-06,33-147,BOS,Away,MIN,L (-5),1,41:36,4.0,16.0,0.25,0.0,4.0,0.0,4.0,6.0,0.667,3.0,8.0,11.0,6.0,1.0,0.0,3.0,3.0,12.0,7.1,-19.0
Jrue Holiday,BOS,7,7.0,2023-11-08,33-149,BOS,Away,PHI,L (-3),1,34:45,4.0,9.0,0.444,2.0,3.0,0.667,2.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,2.0,1.0,12.0,11.3,13.0
Jrue Holiday,BOS,8,8.0,2023-11-10,33-151,BOS,,BRK,W (+14),1,32:50,6.0,14.0,0.429,1.0,5.0,0.2,0.0,0.0,,3.0,9.0,12.0,9.0,2.0,0.0,0.0,2.0,13.0,17.9,26.0
Jrue Holiday,BOS,9,9.0,2023-11-11,33-152,BOS,,TOR,W (+23),1,29:48,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,7.0,1.0,2.0,4.0,2.0,8.0,6.7,22.0
Jrue Holiday,BOS,10,10.0,2023-11-13,33-154,BOS,,NYK,W (+16),1,36:55,5.0,9.0,0.556,3.0,5.0,0.6,1.0,1.0,1.0,4.0,3.0,7.0,2.0,0.0,0.0,2.0,2.0,14.0,12.0,5.0
Jrue Holiday,BOS,11,11.0,2023-11-15,33-156,BOS,Away,PHI,W (+10),1,35:29,8.0,18.0,0.444,2.0,9.0,0.222,0.0,1.0,0.0,2.0,8.0,10.0,3.0,1.0,2.0,1.0,0.0,18.0,15.5,16.0
Jrue Holiday,BOS,12,12.0,2023-11-17,33-158,BOS,Away,TOR,W (+3),1,34:41,5.0,14.0,0.357,2.0,4.0,0.5,2.0,2.0,1.0,2.0,6.0,8.0,5.0,0.0,0.0,1.0,2.0,14.0,11.1,-2.0
Jrue Holiday,BOS,13,13.0,2023-11-19,33-160,BOS,Away,MEM,W (+2),1,36:46,2.0,7.0,0.286,1.0,3.0,0.333,2.0,2.0,1.0,2.0,4.0,6.0,4.0,0.0,0.0,2.0,1.0,7.0,5.9,-9.0
Jrue Holiday,BOS,14,14.0,2023-11-20,33-161,BOS,Away,CHO,L (-3),1,37:12,5.0,11.0,0.455,1.0,3.0,0.333,0.0,2.0,0.0,3.0,3.0,6.0,5.0,1.0,2.0,7.0,1.0,11.0,6.0,-4.0
Jrue Holiday,BOS,15,15.0,2023-11-22,33-163,BOS,,MIL,W (+3),1,34:58,1.0,8.0,0.125,1.0,5.0,0.2,2.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,2.0,3.0,5.0,1.8,-1.0
Jrue Holiday,BOS,18,16.0,2023-11-28,33-169,BOS,,CHI,W (+27),1,33:11,5.0,8.0,0.625,4.0,5.0,0.8,0.0,0.0,,1.0,6.0,7.0,9.0,1.0,0.0,3.0,3.0,14.0,16.0,19.0
Jrue Holiday,BOS,19,17.0,2023-12-01,33-172,BOS,,PHI,W (+6),1,34:58,4.0,11.0,0.364,3.0,5.0,0.6,2.0,2.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,3.0,2.0,13.0,9.8,7.0
Jrue Holiday,BOS,20,18.0,2023-12-04,33-175,BOS,Away,IND,L (-10),1,38:02,3.0,9.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,9.0,8.5,-15.0
Jrue Holiday,BOS,21,19.0,2023-12-08,33-179,BOS,,NYK,W (+10),1,34:50,7.0,11.0,0.636,1.0,3.0,0.333,1.0,1.0,1.0,0.0,6.0,6.0,5.0,2.0,1.0,1.0,1.0,16.0,17.7,6.0
Jrue Holiday,BOS,22,20.0,2023-12-12,33-183,BOS,,CLE,W (+7),1,34:01,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,2.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,11.0,12.6,2.0
Jrue Holiday,BOS,23,21.0,2023-12-14,33-185,BOS,,CLE,W (+9),1,37:13,7.0,11.0,0.636,1.0,3.0,0.333,0.0,0.0,,2.0,1.0,3.0,4.0,0.0,0.0,2.0,2.0,15.0,11.8,11.0
Jrue Holiday,BOS,24,22.0,2023-12-15,33-186,BOS,,ORL,W (+17),1,28:12,2.0,7.0,0.286,2.0,3.0,0.667,0.0,0.0,,1.0,3.0,4.0,4.0,2.0,1.0,0.0,2.0,6.0,8.2,12.0
Jrue Holiday,BOS,25,23.0,2023-12-17,33-188,BOS,,ORL,W (+17),1,34:13,6.0,12.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,2.0,3.0,2.0,14.0,7.8,17.0
Jrue Holiday,BOS,26,24.0,2023-12-19,33-190,BOS,Away,GSW,L (-6),1,35:40,5.0,12.0,0.417,1.0,5.0,0.2,2.0,2.0,1.0,1.0,6.0,7.0,1.0,2.0,0.0,1.0,5.0,13.0,8.8,-14.0
Jrue Holiday,BOS,27,25.0,2023-12-20,33-191,BOS,Away,SAC,W (+25),1,33:53,7.0,13.0,0.538,4.0,6.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,10.0,2.0,1.0,3.0,1.0,21.0,24.2,17.0
Jrue Holiday,BOS,28,26.0,2023-12-23,33-194,BOS,Away,LAC,W (+37),1,27:36,8.0,12.0,0.667,4.0,6.0,0.667,0.0,0.0,,3.0,3.0,6.0,7.0,1.0,0.0,1.0,1.0,20.0,22.3,22.0
Jrue Holiday,BOS,29,27.0,2023-12-25,33-196,BOS,Away,LAL,W (+11),1,38:14,7.0,10.0,0.7,3.0,5.0,0.6,1.0,1.0,1.0,2.0,5.0,7.0,7.0,1.0,1.0,2.0,1.0,18.0,20.9,15.0
Jrue Holiday,BOS,30,28.0,2023-12-28,33-199,BOS,,DET,W (+6),1,44:08,4.0,9.0,0.444,0.0,2.0,0.0,4.0,5.0,0.8,2.0,7.0,9.0,3.0,1.0,1.0,3.0,1.0,12.0,10.8,1.0
Jrue Holiday,BOS,31,29.0,2023-12-29,33-200,BOS,,TOR,W (+2),1,31:41,5.0,15.0,0.333,3.0,5.0,0.6,2.0,4.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,15.0,7.0,8.0
Jrue Holiday,BOS,33,30.0,2024-01-02,33-204,BOS,Away,OKC,L (-4),1,30:50,2.0,8.0,0.25,2.0,5.0,0.4,1.0,2.0,0.5,1.0,4.0,5.0,7.0,1.0,0.0,3.0,1.0,7.0,6.2,-15.0
Jrue Holiday,BOS,34,31.0,2024-01-05,33-207,BOS,,UTA,W (+29),1,23:32,6.0,8.0,0.75,2.0,3.0,0.667,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,2.0,2.0,1.0,14.0,12.7,22.0
Jrue Holiday,BOS,35,32.0,2024-01-06,33-208,BOS,Away,IND,W (+17),1,36:44,3.0,9.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,1.0,5.0,6.0,5.0,1.0,0.0,2.0,2.0,8.0,6.4,6.0
Jrue Holiday,BOS,36,33.0,2024-01-08,33-210,BOS,Away,IND,L (-2),1,37:58,9.0,16.0,0.563,3.0,6.0,0.5,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,0.0,3.0,2.0,21.0,17.0,0.0
Jrue Holiday,BOS,37,34.0,2024-01-10,33-212,BOS,,MIN,W (+7),1,39:54,5.0,15.0,0.333,2.0,10.0,0.2,0.0,0.0,,1.0,4.0,5.0,4.0,2.0,1.0,2.0,3.0,12.0,7.7,8.0
Jrue Holiday,BOS,38,35.0,2024-01-11,33-213,BOS,Away,MIL,L (-33),1,18:35,2.0,9.0,0.222,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,6.0,2.1,-31.0
Jrue Holiday,BOS,39,36.0,2024-01-13,33-215,BOS,,HOU,W (+32),1,26:06,4.0,10.0,0.4,1.0,4.0,0.25,2.0,2.0,1.0,2.0,4.0,6.0,3.0,0.0,0.0,1.0,2.0,11.0,8.5,22.0
Jrue Holiday,BOS,40,37.0,2024-01-15,33-217,BOS,Away,TOR,W (+9),1,33:56,7.0,14.0,0.5,4.0,6.0,0.667,4.0,4.0,1.0,1.0,5.0,6.0,7.0,1.0,2.0,1.0,2.0,22.0,22.7,4.0
Jrue Holiday,BOS,41,38.0,2024-01-17,33-219,BOS,,SAS,W (+19),1,31:17,8.0,14.0,0.571,6.0,7.0,0.857,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,22.0,18.4,10.0
Jrue Holiday,BOS,42,39.0,2024-01-19,33-221,BOS,,DEN,L (-2),1,29:52,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,7.0,5.4,-12.0
Jrue Holiday,BOS,44,40.0,2024-01-22,33-224,BOS,Away,DAL,W (+9),1,38:17,6.0,13.0,0.462,5.0,12.0,0.417,0.0,0.0,,0.0,7.0,7.0,6.0,0.0,1.0,1.0,2.0,17.0,15.5,19.0
Jrue Holiday,BOS,45,41.0,2024-01-25,33-227,BOS,Away,MIA,W (+33),1,28:31,7.0,8.0,0.875,3.0,4.0,0.75,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,1.0,3.0,1.0,17.0,16.5,13.0
Jrue Holiday,BOS,46,42.0,2024-01-27,33-229,BOS,,LAC,L (-19),1,27:37,2.0,11.0,0.182,1.0,7.0,0.143,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,1.0,7.0,2.4,-28.0
Jrue Holiday,BOS,47,43.0,2024-01-29,33-231,BOS,,NOP,W (+6),1,33:03,7.0,11.0,0.636,3.0,5.0,0.6,3.0,4.0,0.75,2.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,20.0,17.4,-4.0
Jrue Holiday,BOS,48,44.0,2024-01-30,33-232,BOS,,IND,W (+5),1,39:27,6.0,8.0,0.75,3.0,3.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,4.0,1.0,3.0,1.0,0.0,17.0,20.2,2.0
Jrue Holiday,BOS,49,45.0,2024-02-01,33-234,BOS,,LAL,L (-9),1,29:10,4.0,9.0,0.444,0.0,2.0,0.0,0.0,0.0,,2.0,5.0,7.0,7.0,0.0,0.0,4.0,3.0,8.0,5.9,-9.0
Jrue Holiday,BOS,50,46.0,2024-02-04,33-237,BOS,,MEM,W (+40),1,27:05,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,1.0,7.0,5.9,11.0
Jrue Holiday,BOS,52,47.0,2024-02-09,33-242,BOS,,WAS,W (+4),1,33:56,9.0,13.0,0.692,2.0,2.0,1.0,0.0,0.0,,3.0,4.0,7.0,5.0,1.0,0.0,2.0,2.0,20.0,19.5,-11.0
Jrue Holiday,BOS,53,48.0,2024-02-11,33-244,BOS,Away,MIA,W (+4),1,35:27,5.0,8.0,0.625,5.0,6.0,0.833,0.0,0.0,,1.0,2.0,3.0,6.0,1.0,1.0,0.0,3.0,15.0,17.4,4.0
Jrue Holiday,BOS,54,49.0,2024-02-13,33-246,BOS,Away,BRK,W (+8),1,35:12,6.0,10.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,5.0,5.0,12.0,2.0,0.0,3.0,5.0,14.0,16.3,18.0
Jrue Holiday,BOS,55,50.0,2024-02-14,33-247,BOS,,BRK,W (+50),1,24:04,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,6.4,31.0
Derrick White,BOS,1,1.0,2023-10-25,29-115,BOS,Away,NYK,W (+4),1,31:56,4.0,6.0,0.667,1.0,3.0,0.333,3.0,4.0,0.75,0.0,6.0,6.0,2.0,2.0,1.0,1.0,3.0,12.0,12.7,7.0
Derrick White,BOS,2,2.0,2023-10-27,29-117,BOS,,MIA,W (+8),1,36:26,9.0,15.0,0.6,5.0,7.0,0.714,5.0,6.0,0.833,3.0,3.0,6.0,3.0,1.0,3.0,2.0,1.0,28.0,26.5,4.0
Derrick White,BOS,3,3.0,2023-10-30,29-120,BOS,Away,WAS,W (+19),1,23:36,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,1.0,0.0,1.0,8.0,2.0,1.0,2.0,1.0,5.0,10.3,27.0
Derrick White,BOS,4,4.0,2023-11-01,29-122,BOS,,IND,W (+51),1,26:50,7.0,10.0,0.7,4.0,7.0,0.571,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,2.0,3.0,18.0,14.7,34.0
Derrick White,BOS,7,5.0,2023-11-08,29-129,BOS,Away,PHI,L (-3),1,37:34,6.0,18.0,0.333,3.0,11.0,0.273,4.0,4.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,3.0,19.0,13.4,2.0
Derrick White,BOS,8,6.0,2023-11-10,29-131,BOS,,BRK,W (+14),1,26:49,4.0,10.0,0.4,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,5.0,0.0,1.0,0.0,2.0,11.0,9.8,1.0
Derrick White,BOS,9,7.0,2023-11-11,29-132,BOS,,TOR,W (+23),1,25:32,2.0,5.0,0.4,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,0.0,2.0,4.0,5.5,20.0
Derrick White,BOS,10,8.0,2023-11-13,29-134,BOS,,NYK,W (+16),1,31:10,1.0,7.0,0.143,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.2,14.0
Derrick White,BOS,11,9.0,2023-11-15,29-136,BOS,Away,PHI,W (+10),1,35:58,7.0,12.0,0.583,4.0,8.0,0.5,9.0,10.0,0.9,0.0,3.0,3.0,5.0,1.0,0.0,2.0,3.0,27.0,23.2,3.0
Derrick White,BOS,12,10.0,2023-11-17,29-138,BOS,Away,TOR,W (+3),1,34:16,4.0,10.0,0.4,3.0,8.0,0.375,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,13.0,10.9,-1.0
Derrick White,BOS,13,11.0,2023-11-19,29-140,BOS,Away,MEM,W (+2),1,34:08,3.0,9.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,10.0,6.9,1.0
Derrick White,BOS,15,12.0,2023-11-22,29-143,BOS,,MIL,W (+3),1,35:22,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,,0.0,4.0,4.0,5.0,1.0,1.0,6.0,1.0,13.0,8.7,-3.0
Derrick White,BOS,16,13.0,2023-11-24,29-145,BOS,Away,ORL,L (-17),1,37:24,3.0,9.0,0.333,1.0,5.0,0.2,9.0,12.0,0.75,0.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,16.0,12.3,-6.0
Derrick White,BOS,17,14.0,2023-11-26,29-147,BOS,,ATL,W (+10),1,37:29,5.0,13.0,0.385,0.0,6.0,0.0,5.0,5.0,1.0,2.0,2.0,4.0,11.0,3.0,0.0,3.0,5.0,15.0,15.6,29.0
Derrick White,BOS,18,15.0,2023-11-28,29-149,BOS,,CHI,W (+27),1,28:30,5.0,7.0,0.714,2.0,3.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,0.0,4.0,14.0,17.3,15.0
Derrick White,BOS,19,16.0,2023-12-01,29-152,BOS,,PHI,W (+6),1,32:03,5.0,11.0,0.455,3.0,4.0,0.75,8.0,8.0,1.0,1.0,5.0,6.0,5.0,1.0,1.0,1.0,2.0,21.0,20.9,20.0
Derrick White,BOS,20,17.0,2023-12-04,29-155,BOS,Away,IND,L (-10),1,35:58,7.0,16.0,0.438,2.0,9.0,0.222,2.0,2.0,1.0,0.0,4.0,4.0,8.0,1.0,1.0,5.0,4.0,18.0,11.5,-4.0
Derrick White,BOS,21,18.0,2023-12-08,29-159,BOS,,NYK,W (+10),1,31:38,10.0,16.0,0.625,6.0,10.0,0.6,4.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,4.0,30.0,28.4,21.0
Derrick White,BOS,22,19.0,2023-12-12,29-163,BOS,,CLE,W (+7),1,36:55,5.0,9.0,0.556,5.0,8.0,0.625,2.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,17.0,16.9,-6.0
Derrick White,BOS,23,20.0,2023-12-14,29-165,BOS,,CLE,W (+9),1,35:10,5.0,10.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,0.0,3.0,0.0,14.0,13.4,9.0
Derrick White,BOS,24,21.0,2023-12-15,29-166,BOS,,ORL,W (+17),1,30:08,7.0,15.0,0.467,3.0,7.0,0.429,2.0,2.0,1.0,1.0,3.0,4.0,8.0,4.0,1.0,1.0,0.0,19.0,22.2,13.0
Derrick White,BOS,25,22.0,2023-12-17,29-168,BOS,,ORL,W (+17),1,27:23,4.0,9.0,0.444,1.0,5.0,0.2,1.0,1.0,1.0,0.0,5.0,5.0,4.0,1.0,3.0,2.0,1.0,10.0,10.3,7.0
Derrick White,BOS,26,23.0,2023-12-19,29-170,BOS,Away,GSW,L (-6),1,40:12,11.0,24.0,0.458,7.0,18.0,0.389,1.0,2.0,0.5,2.0,5.0,7.0,3.0,0.0,3.0,0.0,2.0,30.0,23.5,-1.0
Derrick White,BOS,27,24.0,2023-12-20,29-171,BOS,Away,SAC,W (+25),1,29:19,10.0,13.0,0.769,6.0,9.0,0.667,2.0,3.0,0.667,1.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,28.0,30.1,16.0
Derrick White,BOS,28,25.0,2023-12-23,29-174,BOS,Away,LAC,W (+37),1,28:34,5.0,12.0,0.417,3.0,10.0,0.3,5.0,5.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0,18.0,13.9,27.0
Derrick White,BOS,29,26.0,2023-12-25,29-176,BOS,Away,LAL,W (+11),1,35:18,8.0,13.0,0.615,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,11.0,2.0,2.0,2.0,3.0,18.0,20.6,16.0
Derrick White,BOS,30,27.0,2023-12-28,29-179,BOS,,DET,W (+6),1,37:39,9.0,15.0,0.6,2.0,4.0,0.5,3.0,3.0,1.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,1.0,23.0,20.2,8.0
Derrick White,BOS,31,28.0,2023-12-29,29-180,BOS,,TOR,W (+2),1,35:40,5.0,19.0,0.263,2.0,10.0,0.2,9.0,9.0,1.0,1.0,4.0,5.0,7.0,3.0,2.0,3.0,2.0,21.0,17.1,7.0
Derrick White,BOS,32,29.0,2023-12-31,29-182,BOS,Away,SAS,W (+33),1,25:44,7.0,11.0,0.636,3.0,6.0,0.5,0.0,0.0,,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,17.0,16.5,24.0
Derrick White,BOS,33,30.0,2024-01-02,29-184,BOS,Away,OKC,L (-4),1,28:30,7.0,12.0,0.583,5.0,9.0,0.556,0.0,0.0,,0.0,5.0,5.0,6.0,1.0,1.0,2.0,4.0,19.0,17.2,5.0
Derrick White,BOS,34,31.0,2024-01-05,29-187,BOS,,UTA,W (+29),1,26:12,3.0,9.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,0.0,7.0,7.0,3.0,1.0,1.0,0.0,2.0,10.0,10.0,19.0
Derrick White,BOS,35,32.0,2024-01-06,29-188,BOS,Away,IND,W (+17),1,24:11,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,4.0,5.0,7.0,1.6,20.0
Derrick White,BOS,36,33.0,2024-01-08,29-190,BOS,Away,IND,L (-2),1,35:57,4.0,16.0,0.25,2.0,8.0,0.25,3.0,3.0,1.0,0.0,4.0,4.0,6.0,0.0,2.0,1.0,3.0,13.0,8.0,-2.0
